date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:10:56	58/58	U-----	200	untouched ('OK')	text/plain	date:Thu,%2019%20May%202011%2013:49:12%20GMT	https://sites.google.com/robots.txt		(from )
16:10:57	28574/28574	U--MC-	200	updated ('OK')	text/html	etag:%221306860933476|#public|en|||0%22	https://sites.google.com/site/deansbook/	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/index.html	(from )
16:10:58	248/248	---M--	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2002%20Jun%202011%2015:11:09%20GMT	https://sites.google.com/site/deansbook/_/rsrc/1297442239311/favicon.ico	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/_/rsrc/1297442239311/favicon.0.delayed	(from )
16:10:58	518/518	---M--	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2002%20Jun%202011%2015:11:09%20GMT	https://sites.google.com/site/deansbook/favicon.ico?attredirects=0	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/favicon.16fb5.delayed	(from )
16:10:58	3147/3147	---M--	200	added ('OK')	image/png	date:Thu,%2026%20May%202011%2016:18:59%20GMT	https://ssl.gstatic.com/sites/p/aefd9e/system/app/images/apple-touch-icon.png	C:/My%20Web%20Sites/BDL/ssl.gstatic.com/sites/p/aefd9e/system/app/images/apple-touch-icon.png	(from )
16:10:59	8507/8507	---MC-	200	added ('OK')	text/css	date:Thu,%2026%20May%202011%2016:18:59%20GMT	https://ssl.gstatic.com/sites/p/aefd9e/system/app/css/trogedit.css	C:/My%20Web%20Sites/BDL/ssl.gstatic.com/sites/p/aefd9e/system/app/css/trogedit.css	(from )
16:10:59	14026/14026	---MC-	200	added ('OK')	text/css	date:Thu,%2002%20Jun%202011%2015:11:11%20GMT	https://sites.google.com/site/deansbook/_/rsrc/1306176408000/system/app/css/editor.css	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/_/rsrc/1306176408000/system/app/css/editor.css	(from )
16:11:00	26805/26805	---MC-	200	added ('OK')	text/css	date:Thu,%2026%20May%202011%2016:18:59%20GMT	https://ssl.gstatic.com/sites/p/aefd9e/system/app/css/kixeditor.css	C:/My%20Web%20Sites/BDL/ssl.gstatic.com/sites/p/aefd9e/system/app/css/kixeditor.css	(from )
16:11:00	43/43	---M--	200	added ('OK')	image/gif	date:Thu,%2026%20May%202011%2016:18:59%20GMT	https://ssl.gstatic.com/sites/p/aefd9e/system/app/images/cleardot.gif	C:/My%20Web%20Sites/BDL/ssl.gstatic.com/sites/p/aefd9e/system/app/images/cleardot.gif	(from )
16:11:01	117716/117716	---MC-	200	added ('OK')	text/css	date:Thu,%2026%20May%202011%2016:18:59%20GMT	https://ssl.gstatic.com/sites/p/aefd9e/system/app/themes/solitudecherry/standard-css-solitudecherry-ltr-ltr.css	C:/My%20Web%20Sites/BDL/ssl.gstatic.com/sites/p/aefd9e/system/app/themes/solitudecherry/standard-css-solitudecherry-ltr-ltr.css	(from )
16:11:01	2909/2909	---MC-	200	added ('OK')	text/css	date:Thu,%2002%20Jun%202011%2015:11:12%20GMT	https://sites.google.com/site/deansbook/_/rsrc/1306176408000/system/app/css/overlay.css?cb=solitudecherry25a90%25300goog-ws-leftnonethemedefaultstandard	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/_/rsrc/1306176408000/system/app/css/overlayddde.css	(from )
16:11:03	52792/52792	---MC-	200	added ('OK')	text/html	etag:%221306860933476|#public|en|||0%22	https://sites.google.com/site/deansbook/ballads/xvii	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/ballads/xvii.html	(from )
16:11:04	77245/77245	---MC-	200	added ('OK')	text/html	etag:%221306860933476|#public|en|||0%22	https://sites.google.com/site/deansbook/ballads/xx	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/ballads/xx.html	(from )
16:11:06	43273/43273	---MC-	200	added ('OK')	text/html	etag:%221306860933476|#public|en|||0%22	https://sites.google.com/site/deansbook/ballads/xxi	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/ballads/xxi.html	(from )
16:11:08	92257/92257	---MC-	200	added ('OK')	text/html	etag:%221306860933476|#public|en|||0%22	https://sites.google.com/site/deansbook/ballads/xxii	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/ballads/xxii.html	(from )
16:11:09	59580/59580	---MC-	200	added ('OK')	text/html	etag:%221306860933476|#public|en|||0%22	https://sites.google.com/site/deansbook/ballads/xxiii	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/ballads/xxiii.html	(from )
16:11:11	40657/40657	---MC-	200	added ('OK')	text/html	etag:%221306860933476|#public|en|||0%22	https://sites.google.com/site/deansbook/ballads/xxiv	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/ballads/xxiv.html	(from )
16:11:13	50606/50606	---MC-	200	added ('OK')	text/html	etag:%221306860933476|#public|en|||0%22	https://sites.google.com/site/deansbook/ballads/xxv	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/ballads/xxv.html	(from )
16:11:15	64849/64849	---MC-	200	added ('OK')	text/html	etag:%221306860933476|#public|en|||0%22	https://sites.google.com/site/deansbook/ballads/xxvi	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/ballads/xxvi.html	(from )
16:11:16	66390/66390	---MC-	200	added ('OK')	text/html	etag:%221306860933476|#public|en|||0%22	https://sites.google.com/site/deansbook/ballads/xxvii	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/ballads/xxvii.html	(from )
16:11:17	172626/172626	---MC-	200	added ('OK')	text/javascript	date:Mon,%2023%20May%202011%2020:28:44%20GMT	https://ssl.gstatic.com/sites/p/aefd9e/system/js/jot_min_view__en_gb.js	C:/My%20Web%20Sites/BDL/ssl.gstatic.com/sites/p/aefd9e/system/js/jot_min_view__en_gb.js	(from )
16:11:18	145/145	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2002%20Jun%202011%2015:11:29%20GMT	https://sites.google.com/site/deansbook/_/tz	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/_/tz.36.delayed	(from )
